
topic 0 words: ,love, amazing, best, favorite, person, great, wil, not, al, always, clas, swet, funy, helpful, kind
topic 19 words: ,on, not, always, clas, time, never, like, even, got, first, al, period, every, gave, talk
topic 19 coefs: ,0.041630153, 0.03919424, 0.037892837, 0.036523744, 0.024996173, 0.02070664, 0.018189777, 0.0163071, 0.016302325, 0.014876204, 0.0142719345, 0.01202909, 0.0102688875, 0.00994005, 0.009605225
topic 20 words: ,understand, material, help, sure, not, always, make, clear, great, wel, teach, time, explain, helpful, explains
topic 20 coefs: ,0.08449358, 0.03705926, 0.03491832, 0.031838294, 0.030253295, 0.026297834, 0.024713594, 0.023359843, 0.02304387, 0.022634255, 0.022388058, 0.016777158, 0.016014475, 0.015974222, 0.015511559
topic 21 words: ,student, care, realy, help, best, great, want, always, al, wel, suced, work, time, helpful, try
topic 21 coefs: ,0.21496075, 0.052495304, 0.030831937, 0.026810242, 0.023487495, 0.020464683, 0.02023664, 0.018435659, 0.018129388, 0.012831717, 0.012148962, 0.012018682, 0.010283818, 0.009736859, 0.009141697
topic 22 words: ,fod, hurt, eat, spech, fan, compasionate, law, econ, thompson, open_minded, eng, decision, alone, comon, head
topic 22 coefs: ,0.023678733, 0.017346758, 0.016909832, 0.015679078, 0.014255083, 0.014192639, 0.010624627, 0.01053616, 0.010413025, 0.010305662, 0.010047649, 0.010004574, 0.009549103, 0.009154703, 0.008948571
topic 23 words: ,give, homework, work, grade, project, asignments, on, time, lot, chance, hw, not, al, grading, paper
topic 23 coefs: ,0.16025989, 0.08178285, 0.047568925, 0.045418993, 0.033672165, 0.03298797, 0.02945403, 0.026875326, 0.0142414225, 0.012354674, 0.01172503, 0.01077687, 0.010048819, 0.009684633, 0.009563441
topic 24 words: ,math, best, helped, got, algebra, geometry, not, beter, latin, went, god, first, regent, even, never
topic 24 coefs: ,0.19616808, 0.045888774, 0.032913815, 0.024047552, 0.02207288, 0.01609044, 0.014542772, 0.014105934, 0.013487059, 0.01344718, 0.01229796, 0.0120585775, 0.011416521, 0.011180195, 0.009747015
