
topic 0 words: ,like, peopl, cla, sem, fel, reali, think, nice, know, bad, al, hate, care, act, tri
topic 17 coefs: ,0.16861053, 0.14436173, 0.09852249, 0.06031794, 0.04008627, 0.024771318, 0.017970094, 0.014308575, 0.013442267, 0.012407764, 0.011145186, 0.0105396155, 0.00988021, 0.00939909, 0.008137877
topic 18 words: ,read, test, cla, bok, ap, histori, note, al, teach, textbok, exam, prepar, lectur, inform, powerpoint
topic 18 coefs: ,0.051992323, 0.04087148, 0.037360955, 0.034205455, 0.028665796, 0.027176846, 0.022014648, 0.020938555, 0.018972257, 0.015557212, 0.014317385, 0.012582296, 0.011766749, 0.010925432, 0.010221926
topic 19 words: ,yel, cla, cal, hear, wil, peopl, alway, particip, say, group, back, yele, bring, front, scream
topic 19 coefs: ,0.03859889, 0.027009616, 0.026054574, 0.02269381, 0.021008696, 0.019623753, 0.019477222, 0.019244839, 0.018685993, 0.017776553, 0.017338596, 0.015066625, 0.013864302, 0.013525844, 0.013274816
topic 20 words: ,coach, run, gym, sport, stick, boy, team, athlet, star, fotbal, johnson, despis, inspir, hire, care
topic 20 coefs: ,0.07716738, 0.07529057, 0.058020793, 0.04476707, 0.041340973, 0.03828355, 0.036424838, 0.02739748, 0.01742707, 0.016695404, 0.015324892, 0.013069465, 0.013039926, 0.012750624, 0.012291216
topic 21 words: ,grade, cla, asign, extrem, opinion, esay, student, base, teacher, disorgan, unorgan, wil, often, incred, discus
topic 21 coefs: ,0.13376781, 0.04128233, 0.023681125, 0.021479765, 0.02011537, 0.020097038, 0.015872328, 0.014021375, 0.013024326, 0.012999037, 0.012479392, 0.010058485, 0.009532598, 0.008989245, 0.008961727
topic 22 words: ,rom, cri, sub, spech, midl, kick, fav, stope, ful, pictur, copi_note, wana, color, caught, kno
topic 22 coefs: ,0.062621295, 0.03736428, 0.02625873, 0.020423833, 0.01636092, 0.015342237, 0.015290136, 0.013279875, 0.012980712, 0.012874293, 0.012354849, 0.012296929, 0.012227454, 0.011707158, 0.011060701
topic 23 words: ,student, teacher, schol, child, respect, care, parent, educ, time, mani, clasrom, son, isu, job, al
topic 23 coefs: ,0.12633468, 0.031114371, 0.027984085, 0.018864822, 0.015306187, 0.015064841, 0.014384215, 0.0065607675, 0.006488949, 0.006445539, 0.0063609327, 0.0062252395, 0.006184414, 0.006132116, 0.0060255313
topic 24 words: ,teacher, nice, reali, god, person, great, mean, think, sometim, okay, kind, bad, preti, teach, cla
topic 24 coefs: ,0.09747307, 0.07441005, 0.074201725, 0.049075596, 0.046443358, 0.03903335, 0.036172964, 0.026990367, 0.020398328, 0.019424798, 0.019299256, 0.018452283, 0.018353052, 0.01774551, 0.017287852
