
topic 0 words: ,teacher, worst, horible, terible, teach, al, god, know, awful, far, probably, even, never, anything, teaching
topic 0 coefs: ,0.3024109, 0.11870775, 0.045170184, 0.035321563, 0.029392188, 0.028120702, 0.028083693, 0.025867362, 0.021312812, 0.016096704, 0.015969824, 0.01563201, 0.015491115, 0.01443135, 0.012630251
topic 1 words: ,teacher, bad, nice, person, god, realy, great, like, funy, think, best, joke, clas, fel, teaching
topic 1 coefs: ,0.112614535, 0.08876016, 0.069596514, 0.058906462, 0.04411201, 0.03617568, 0.031160261, 0.029538115, 0.024775112, 0.023925293, 0.022439364, 0.020383874, 0.018404773, 0.016777493, 0.014816823
topic 2 words: ,clas, anything, learn, nothing, learned, teach, easy, al, never, thing, want, taught, actualy, wil, control
topic 2 coefs: ,0.14379534, 0.11199369, 0.09961678, 0.053302567, 0.048286606, 0.04767636, 0.04303551, 0.033946026, 0.025351882, 0.022942515, 0.016372042, 0.01352811, 0.013118707, 0.012701121, 0.010124794
topic 3 words: ,mean, reason, like, yels, always, strict, al, people, clas, yel, kid, ok, even, yeled, yeling
topic 3 coefs: ,0.13997257, 0.051344667, 0.044643596, 0.04086706, 0.031944394, 0.027881172, 0.027714401, 0.02729736, 0.019959765, 0.018623699, 0.018568145, 0.014647883, 0.013952946, 0.01313082, 0.010015394
topic 4 words: ,student, clas, make, unclear, question, answer, often, confusing, on, extremely, clear, constantly, never, mistake, unhelpful
topic 4 coefs: ,0.04164722, 0.02707998, 0.026444077, 0.025338477, 0.024630673, 0.023309644, 0.023261294, 0.02251022, 0.021970883, 0.020339781, 0.017566398, 0.01644941, 0.015003065, 0.014923455, 0.013939855
topic 5 words: ,say, always, right, wrong, something, col, think, wil, never, tel, thing, mad, wow, on, want
topic 5 coefs: ,0.11485987, 0.057780314, 0.04448382, 0.03427369, 0.027826652, 0.027142055, 0.026914235, 0.022037268, 0.019477457, 0.01746051, 0.017432733, 0.01399786, 0.01148453, 0.011220372, 0.010853528
topic 6 words: ,give, grade, homework, work, on, test, project, asignments, never, al, even, clas, wil, hard, point
topic 6 coefs: ,0.096401304, 0.07175284, 0.051897485, 0.044175033, 0.04372453, 0.03242628, 0.02445732, 0.020170024, 0.01794949, 0.015130939, 0.013976389, 0.01212671, 0.011620473, 0.010898333, 0.010359659
topic 7 words: ,on, around, al, rom, away, computer, put, sit, back, coach, stand, never, head, cannot_stand, kid
topic 7 coefs: ,0.08022581, 0.033745326, 0.029552817, 0.020594856, 0.018702077, 0.018213894, 0.017162004, 0.01611342, 0.01535489, 0.0131933745, 0.0128101725, 0.012401203, 0.012275125, 0.011962936, 0.011733468
topic 8 words: ,care, student, think, know, french, name, al, job, run, like, le, even, sem, schol, people
topic 8 coefs: ,0.10828908, 0.06388653, 0.05618369, 0.036570884, 0.026738618, 0.02571095, 0.025158785, 0.02000926, 0.019613069, 0.019042268, 0.018786425, 0.016062083, 0.014606027, 0.014477208, 0.014077796
topic 9 words: ,clas, math, teacher, wil, problem, switch, course, chemistry, dificult, clases, hard, understand, physic, drop, teach
topic 9 coefs: ,0.093027845, 0.078181885, 0.020684639, 0.018970678, 0.014921662, 0.0144596, 0.013398563, 0.012856898, 0.0127259325, 0.012540691, 0.012462793, 0.012226447, 0.012176422, 0.011912626, 0.01165707
topic 10 words: ,teach, know, cannot, wel, understand, explain, word, expects, al, even, everything, material, canot, nice, teaching
topic 10 coefs: ,0.1724867, 0.12533256, 0.08692712, 0.053586468, 0.040671963, 0.037631713, 0.030210327, 0.029003082, 0.025599932, 0.025439398, 0.01754852, 0.016291516, 0.015201088, 0.014170708, 0.013953881
topic 11 words: ,god, science, luck, art, clas, youl, wil, enjoy, glad, semed, bit, anymore, extra_help, gone, thank
topic 11 coefs: ,0.15463054, 0.0503876, 0.03295254, 0.03106027, 0.025259491, 0.020697998, 0.01910716, 0.017344227, 0.016052471, 0.01582991, 0.015112984, 0.012457247, 0.01123471, 0.010970839, 0.009156529
topic 12 words: ,test, on, teach, clas, note, al, bok, give, read, quiz, material, textbok, know, never, teaching
topic 12 coefs: ,0.078213155, 0.06062521, 0.04006678, 0.03018188, 0.029535482, 0.023455376, 0.021468962, 0.019169796, 0.017984219, 0.01598619, 0.013392731, 0.01092738, 0.010605709, 0.010213243, 0.010192704
topic 13 words: ,student, teacher, teaching, respect, por, help, litle, work, lack, sems, helping, knowledge, rude, understanding, wel
topic 13 coefs: ,0.17291573, 0.03700089, 0.027534261, 0.014287362, 0.011962177, 0.010338564, 0.009891733, 0.0097786905, 0.009256525, 0.008500465, 0.0077281473, 0.007488272, 0.007350115, 0.0069923545, 0.0068692123
topic 14 words: ,child, schol, ben, parent, student, teacher, kid, year, never, daughter, many, told, on, wil, son
topic 14 coefs: ,0.04623498, 0.046030674, 0.041877255, 0.029984767, 0.020279752, 0.017432831, 0.016216405, 0.012477213, 0.011482102, 0.011453564, 0.0112341, 0.01056562, 0.009993034, 0.008759425, 0.008333157
topic 15 words: ,talk, idea, lost, hear, paper, talking, swet, personal_life, besides, love, life, obsesed, spech, religion, dog
topic 15 coefs: ,0.2800469, 0.058036134, 0.039920144, 0.03480418, 0.031072007, 0.020342186, 0.014182195, 0.014001557, 0.013032243, 0.01008382, 0.009434184, 0.009428028, 0.008759816, 0.008711787, 0.007534826
topic 16 words: ,help, like, ask, know, al, student, act, ask_question, never, wil, ned, try, understand, lok, something
topic 16 coefs: ,0.13988635, 0.1252439, 0.039032154, 0.030918676, 0.027814925, 0.024034008, 0.023240078, 0.021764617, 0.020570148, 0.015780816, 0.015637564, 0.014628911, 0.013674199, 0.013433264, 0.0134151
topic 17 words: ,time, clas, on, talking, half, whole, minute, period, al, every, know, always, teaching, late, spent
topic 17 coefs: ,0.16713692, 0.09999103, 0.04026909, 0.029745396, 0.02898077, 0.024304403, 0.022512963, 0.020387448, 0.019503301, 0.014124224, 0.011854109, 0.011719613, 0.011615626, 0.0109799085, 0.010517016
topic 18 words: ,neds, on, ned, beter, maybe, new, teaching, stop, mi, god, think, old, stay, side, please
topic 18 coefs: ,0.103074975, 0.038748175, 0.037995145, 0.029194815, 0.024621604, 0.023663172, 0.022616018, 0.022524577, 0.021095004, 0.020970846, 0.020652285, 0.019552497, 0.019429296, 0.019417014, 0.016034177
topic 19 words: ,realy, boring, hard, clas, anoying, like, easy, nice, sometimes, understand, make, super, try, al, weird
topic 19 coefs: ,0.18213691, 0.093476124, 0.08672593, 0.077908285, 0.03761203, 0.034384277, 0.025716843, 0.021275023, 0.01949089, 0.015613412, 0.015497575, 0.014149728, 0.0131341675, 0.01287312, 0.011864932
topic 20 words: ,first, thought, went, left, schol, came, son, started, wek, got, day, sub, last, said, 8th_grade
topic 20 coefs: ,0.09304814, 0.037956208, 0.032243952, 0.02897418, 0.025909156, 0.0258925, 0.022871474, 0.022593424, 0.02161132, 0.02025336, 0.01948198, 0.017573621, 0.016467318, 0.015402878, 0.014142543
topic 21 words: ,music, play, high_schol, band, program, midle_schol, busines, education, song, imature, best, non, orchestra, choir, carer
topic 21 coefs: ,0.0343637, 0.029958084, 0.028221594, 0.027909707, 0.016965711, 0.014378527, 0.012438984, 0.010762979, 0.009646422, 0.008994419, 0.0089741275, 0.0086442735, 0.008548128, 0.008400014, 0.008336021
topic 22 words: ,opinion, totaly, agre, completely, grading, clasrom, ridiculous, biased, personal, based_on, people, student, concerned, view, unfair
topic 22 coefs: ,0.05121437, 0.036707517, 0.02991741, 0.022386413, 0.017342685, 0.016692763, 0.015999679, 0.014966057, 0.012980937, 0.012852405, 0.011376015, 0.010992287, 0.010863966, 0.010765126, 0.009758832
topic 23 words: ,hate, favorite, like, kid, student, clas, on, people, pick_favorite, play_favorite, pick, others, favor, unfair, al
topic 23 coefs: ,0.10572573, 0.07808716, 0.0643, 0.046377953, 0.038363133, 0.035507195, 0.03015112, 0.029986605, 0.025186785, 0.025113704, 0.02371549, 0.01709445, 0.01644907, 0.01626348, 0.01267943
topic 24 words: ,clas, got, english, spanish, tok, gave, ap, asked, honor, hated, colege, like, told, writing, freshman
topic 24 coefs: ,0.082396016, 0.058643878, 0.055361092, 0.047203872, 0.020641968, 0.018485436, 0.018046554, 0.01571143, 0.014626912, 0.01419433, 0.013726685, 0.013574333, 0.013463768, 0.013079181, 0.013059417
