
topic 0 words: ,best, life, thank, wil, year, taught, al, stil, high_schol, ben, amaz, rememb, know, never, say
topic 19 words: ,prepar, ap, test, help, wel, exam, question, answer, chemistri, biolog, hard, got, wil, dificult, ap_exam
topic 19 coefs: ,0.065203026, 0.061856978, 0.05890405, 0.032226056, 0.030203305, 0.030040726, 0.029457025, 0.028395606, 0.028124627, 0.020645944, 0.016879342, 0.014047802, 0.0140277175, 0.013658066, 0.0136303315
topic 20 words: ,fun, make, learn, best, alway, love, interest, funi, favorit, stori, great, joke, enjoy, teach, al
topic 20 coefs: ,0.10305571, 0.07657613, 0.045195132, 0.038457073, 0.030808829, 0.02517352, 0.020911496, 0.019413607, 0.019336306, 0.018652106, 0.017979471, 0.015464286, 0.014218738, 0.014167577, 0.013896093
topic 21 words: ,spanish, languag, learn, speak, cultur, sra, acent, north, year, acount, senora, combin, coper, italian, taught
topic 21 coefs: ,0.18704055, 0.07967448, 0.07370108, 0.053616963, 0.018475568, 0.012531669, 0.012027438, 0.011153086, 0.011096411, 0.011088345, 0.010389704, 0.009701067, 0.009053656, 0.008658492, 0.00838174
topic 22 words: ,write, best, esay, improv, help, english, skil, paper, grade, coleg, read, writer, fedback, beter, wrote
topic 22 coefs: ,0.13229288, 0.058469035, 0.05521963, 0.044364557, 0.044324197, 0.02960264, 0.028027361, 0.027734632, 0.019724537, 0.015373405, 0.014099827, 0.0125828935, 0.0123467045, 0.012108419, 0.010503
topic 23 words: ,english, read, bok, literatur, senior, honor, discus, freshman, lit, spech, enjoy, junior, text, sophomor, asign
topic 23 coefs: ,0.20320779, 0.12582664, 0.060076714, 0.029801045, 0.024737787, 0.021584073, 0.020824028, 0.016408687, 0.011982685, 0.011072139, 0.010657079, 0.010427619, 0.010021471, 0.009016314, 0.008183775
topic 24 words: ,work, wil, grade, hard, give, time, god, asign, long, help, efort, tri, put, easi, student
topic 24 coefs: ,0.14741108, 0.052942406, 0.052935153, 0.04961867, 0.03742969, 0.022705875, 0.022316035, 0.021270294, 0.019416254, 0.01839092, 0.0153895095, 0.014984958, 0.014304132, 0.012664542, 0.012544421
