
topic 16 coefs: ,0.1742531, 0.10177635, 0.06087737, 0.05376464, 0.033082623, 0.021888493, 0.02096619, 0.018203527, 0.018098965, 0.016087638, 0.016083064, 0.016022488, 0.015801689, 0.014128641, 0.012574989
topic 17 words: ,beter, ben, neds, used, schol, think, music, new, not, teaching, first, year, band, since, job
topic 17 coefs: ,0.044986557, 0.035144206, 0.032451857, 0.030416071, 0.025860764, 0.024878893, 0.02298962, 0.022518644, 0.021560812, 0.021554051, 0.019109506, 0.017629176, 0.01759503, 0.017346725, 0.014815248
topic 18 words: ,liked, friend, clas, enjoyed, leave, wanted, inteligent, become, child, found, incredibly, certainly, heard, lit, dul
topic 18 coefs: ,0.10769864, 0.085293315, 0.047375232, 0.029887248, 0.02373584, 0.018055398, 0.01727867, 0.016609915, 0.016173437, 0.01610272, 0.012167138, 0.012122483, 0.011307446, 0.011028879, 0.01042538
topic 19 words: ,clas, ap, honor, not, hard, course, clases, dificult, colege, prepared, work, wel, taking, on, exam
topic 19 coefs: ,0.0848617, 0.04111283, 0.028942516, 0.028740732, 0.028061775, 0.022129495, 0.021747544, 0.019676724, 0.019171834, 0.018983182, 0.016839648, 0.016570777, 0.013951527, 0.013629614, 0.013329704
topic 20 words: ,col, prety, lol, funy, awesome, dude, teacher, chil, stil, rock, cuz, totaly, gues, awsome, earth
topic 20 coefs: ,0.33629635, 0.11684767, 0.038805354, 0.024164835, 0.019892443, 0.018553928, 0.01786519, 0.017214853, 0.01672005, 0.015300126, 0.014356592, 0.012771287, 0.012335766, 0.01208982, 0.008077594
topic 21 words: ,boring, clas, lecture, subject, control, tends, clases, teach, slow, topic, rather, know, get, repeat, stuf
topic 21 coefs: ,0.17672612, 0.08157489, 0.035057794, 0.027137697, 0.0267073, 0.025914095, 0.021797216, 0.016959973, 0.016393408, 0.015914485, 0.0155346375, 0.013893153, 0.012852959, 0.011167322, 0.010789638
topic 22 words: ,run, hear, gota, head, omg, wow, walk, family, temper, betwen, talked, sumer, daughter, dog, hang
topic 22 coefs: ,0.042605784, 0.0410753, 0.033920977, 0.029996179, 0.028645348, 0.021805946, 0.021734549, 0.016697587, 0.014763274, 0.0144980755, 0.013124657, 0.013085671, 0.012039576, 0.011451556, 0.011097058
topic 23 words: ,test, on, hard, note, quiz, study, easy, not, clas, homework, al, give, grade, prety, question
topic 23 coefs: ,0.15873265, 0.048382338, 0.041147195, 0.03884882, 0.036506124, 0.031612992, 0.028312635, 0.027431823, 0.024205692, 0.01993711, 0.019265648, 0.018903365, 0.017984241, 0.0117737865, 0.01145127
topic 24 words: ,group, thanks, unlike, advanced, drama, known, short, speak, insane, close, schedule, favoritism, acting, yo, field
topic 24 coefs: ,0.038816266, 0.03334204, 0.021660639, 0.0216114, 0.019270644, 0.016575325, 0.015268722, 0.014198997, 0.013527845, 0.013494998, 0.0131230755, 0.01148913, 0.011094003, 0.0106493, 0.010609296
