
topic 0 words: ,love, best, math, favorite, science, far, funy, probably, clas, nicest, teach, schol, great, helpful, hilarious
topic 19 coefs: ,0.060759045, 0.046545412, 0.0419769, 0.037083775, 0.018423356, 0.017696075, 0.016799927, 0.016573764, 0.016512057, 0.015504988, 0.014676096, 0.014401832, 0.012243367, 0.011972652, 0.011157477
topic 20 words: ,coach, hey, name, gota, luv, smith, cal, please, kol, debate, busines, def, us, couple, kely
topic 20 coefs: ,0.06283984, 0.028438063, 0.026946528, 0.020951727, 0.02022606, 0.020220466, 0.017874269, 0.0150026325, 0.014541822, 0.013905656, 0.013538762, 0.012041633, 0.011326786, 0.0095118545, 0.008790803
topic 21 words: ,life, real, teach, song, world, example, dance, skils, voice, drama, opinion, isues, important, many, view
topic 21 coefs: ,0.1198478, 0.05022102, 0.017114216, 0.014877136, 0.013561634, 0.010771955, 0.010714833, 0.010100795, 0.010017634, 0.009621958, 0.009519907, 0.0094164405, 0.009085941, 0.009070918, 0.008049458
topic 22 words: ,clas, english, learned, spanish, not, clases, honor, learn, great, best, freshman, hard, actualy, chalenging, taking
topic 22 coefs: ,0.12850331, 0.06652769, 0.06261416, 0.039945755, 0.031570002, 0.027746838, 0.021864608, 0.019732479, 0.017725231, 0.016983487, 0.0146291815, 0.01377324, 0.013506659, 0.012256702, 0.012171515
topic 23 words: ,student, respect, art, push, best, expects, wil, apreciate, ability, daughter, chalenges, chalenge, high, education, grow
topic 23 coefs: ,0.06817449, 0.041631136, 0.033759814, 0.024007935, 0.018152304, 0.017778585, 0.016257204, 0.014679175, 0.009265962, 0.009127642, 0.0086990595, 0.008663729, 0.007667044, 0.007366617, 0.007340866
topic 24 words: ,amazing, person, great, wonderful, music, caring, kind, child, woman, helpful, al, swet, schol, lucky, play
topic 24 coefs: ,0.13879646, 0.059193842, 0.052215587, 0.045928232, 0.030326774, 0.025167696, 0.022182798, 0.02004239, 0.018840462, 0.017456645, 0.015019252, 0.013445137, 0.012574337, 0.01194523, 0.011591559
