
topic 0 words: ,fun, clas, make, teacher, interesting, realy, great, easy, history, always, learning, boring, god, learn, like
topic 19 words: ,love, teacher, science, best, rock, colest, coach, world, amazing, greatest, omg, lol, wow, team, sub
topic 19 coefs: ,0.17607829, 0.07164973, 0.060287092, 0.05319103, 0.03240983, 0.031202488, 0.027282087, 0.018657561, 0.018619731, 0.017276745, 0.013482712, 0.011453235, 0.010239397, 0.009022756, 0.008947358
topic 20 words: ,student, teacher, care, great, want, realy, al, teaching, not, pasionate, job, push, life, wonderful, schol
topic 20 coefs: ,0.18998216, 0.048805922, 0.047930975, 0.025164615, 0.015007699, 0.013995666, 0.013334973, 0.010999648, 0.0104294615, 0.008208638, 0.007971319, 0.0073477263, 0.0072729103, 0.006858124, 0.006404586
topic 21 words: ,easy, test, clas, grade, not, note, realy, study, hard, god, give, homework, quiz, prety, teacher
topic 21 coefs: ,0.10336082, 0.06622343, 0.06579144, 0.039700065, 0.037707258, 0.03578167, 0.028196484, 0.026330527, 0.02581077, 0.025433067, 0.025280751, 0.021805357, 0.020962924, 0.020474037, 0.020458905
topic 22 words: ,loved, mi, remember, back, freshman, stil, senior, last, clas, hey, year_ago, always, luv, 8th_grade, da
topic 22 coefs: ,0.09030099, 0.08589884, 0.05607017, 0.041216556, 0.035672616, 0.0287167, 0.025474168, 0.021586824, 0.020794952, 0.020109098, 0.017631447, 0.0144367395, 0.013765089, 0.012463145, 0.012350661
topic 23 words: ,test, hard, ap, clas, wel, on, dificult, prepared, course, exam, colege, history, prepare, study, however
topic 23 coefs: ,0.10787735, 0.04985634, 0.049741626, 0.04179132, 0.03137841, 0.030342584, 0.029184638, 0.022389954, 0.020023352, 0.017967263, 0.016824637, 0.015587626, 0.011218353, 0.009647262, 0.009364537
topic 24 words: ,neds, instead, rom, hear, run, semed, smile, schol, principal, place, teaching_method, face, speak, unique, think
topic 24 coefs: ,0.08358737, 0.030668268, 0.02799738, 0.02401434, 0.022512069, 0.021474976, 0.01940089, 0.019089786, 0.017861497, 0.0154851135, 0.015396774, 0.014592429, 0.012496815, 0.012180186, 0.011884805
