
topic 0 words: ,teach, scienc, know, wel, best, actuali, great, learn, subject, style, pasion, unlik, like, method, amaz
topic 19 words: ,god, spanish, languag, side, learn, speak, latin, bad_side, german, luck, cultur, mod, bomb, job, play_game
topic 19 coefs: ,0.45731467, 0.10522924, 0.03854488, 0.036400527, 0.027471207, 0.025200484, 0.021345124, 0.013329092, 0.012868842, 0.012679605, 0.010814567, 0.010457358, 0.008899039, 0.00881357, 0.007840401
topic 20 words: ,awesom, rock, totali, homerom, freak, jone, desk, bestest, kide, wick, robert, color, plain, wh, mike
topic 20 coefs: ,0.5732549, 0.09485654, 0.060519084, 0.021570697, 0.013959885, 0.012951941, 0.009632593, 0.007907819, 0.0073375157, 0.006865893, 0.006114731, 0.0056142965, 0.0054560383, 0.005021949, 0.0048295786
topic 21 words: ,peopl, say, like, think, bad, mean, know, al, cla, nice, great, hate, cannot, god, actuali
topic 21 coefs: ,0.06979976, 0.061798446, 0.045962263, 0.045719426, 0.036653284, 0.03272513, 0.023260785, 0.021661902, 0.021409016, 0.015701015, 0.015021084, 0.014507309, 0.013425416, 0.012327874, 0.012167908
topic 22 words: ,mi, best, wil, next, hope, never, last, leav, mad, retir, wish, awsom, sad, mise, schol
topic 22 coefs: ,0.117445625, 0.06428958, 0.049188063, 0.049160175, 0.037852287, 0.03079059, 0.027932651, 0.026493186, 0.025298359, 0.018356176, 0.017353691, 0.017075079, 0.016840752, 0.015444587, 0.015205384
topic 23 words: ,rate, star, one, site, cuz, post, board, brain, yo, smal, gue, hous, previou, north, fire
topic 23 coefs: ,0.067117974, 0.029375656, 0.028732771, 0.018080993, 0.0179698, 0.016441958, 0.014912897, 0.014314716, 0.014172965, 0.014098656, 0.013649477, 0.013376796, 0.012610051, 0.012478729, 0.012156008
topic 24 words: ,alway, help, wile, ned, wil, great, nede, nice, best, time, favorit, extra, smile, even, kind
topic 24 coefs: ,0.27372468, 0.21154173, 0.060399428, 0.04120267, 0.029061943, 0.02497798, 0.023594473, 0.020224914, 0.017616648, 0.01583023, 0.014021437, 0.013981818, 0.012831636, 0.010150888, 0.009813117
topic 25 words: ,best, funi, stori, joke, tel, hilari, whole, world, laugh, smart, colest, cla, favorit, schol, like
topic 25 coefs: ,0.13522933, 0.10287801, 0.051251214, 0.042890724, 0.039572336, 0.035284344, 0.03510777, 0.033193853, 0.0316976, 0.02986617, 0.027647495, 0.020185815, 0.016902406, 0.016317915, 0.015837625
topic 26 words: ,cla, use, learn, difer, time, great, topic, rather, comput, memor, kep, us, folow, clase, control
topic 26 coefs: ,0.076795116, 0.058795977, 0.0290249, 0.021302026, 0.016982555, 0.014516211, 0.014045754, 0.012001006, 0.011497449, 0.01093148, 0.010870738, 0.010326528, 0.009811416, 0.009735694, 0.009719419
