
topic 0 words: ,easy, clas, not, homework, give, work, prety, long, fun, pay_atention, nice, test, al, time, talk
topic 19 words: ,not, like, say, think, people, bad, know, mean, god, al, kid, even, best, hate, great
topic 19 coefs: ,0.16675724, 0.047972046, 0.040657684, 0.039847337, 0.03725274, 0.031370126, 0.030111017, 0.020745773, 0.020153783, 0.018914, 0.017920554, 0.01129675, 0.010582863, 0.010052536, 0.010037063
topic 20 words: ,always, wil, never, best, hapy, nice, kind, helpful, caring, talk, everyone, lady, swet, mater, counselor
topic 20 coefs: ,0.20032413, 0.05702543, 0.05616964, 0.034590665, 0.030246729, 0.028090868, 0.025223263, 0.024730165, 0.020647956, 0.017220208, 0.014233143, 0.014161225, 0.0137067605, 0.010041936, 0.0090749655
topic 21 words: ,le, la, yo, senora, ela, de, por, ha, murphy, los, pro, tj, practical, decide, el
topic 21 coefs: ,0.10471569, 0.031139204, 0.02955969, 0.029131869, 0.022078114, 0.018545864, 0.016514726, 0.016316693, 0.01570785, 0.012750606, 0.012375735, 0.011144536, 0.010770026, 0.010098841, 0.009395627
topic 22 words: ,history, world, best, retired, government, view, white, date, interested, hapened, politics, lecture, fact, curent_event, apush
topic 22 coefs: ,0.29210296, 0.14784391, 0.028808657, 0.018246738, 0.014924544, 0.013409635, 0.012027929, 0.011117321, 0.009814208, 0.00910575, 0.008806459, 0.008723452, 0.008479452, 0.0083187735, 0.008266542
topic 23 words: ,watch, girl, deserves, movie, video, gona, dance, boy, gota, award, popular, win, cut, hil, east
topic 23 coefs: ,0.035900168, 0.034286994, 0.03226184, 0.031207012, 0.030333545, 0.027971838, 0.02628338, 0.024155114, 0.021690069, 0.018102182, 0.016967932, 0.014118287, 0.012641669, 0.012400315, 0.011794957
topic 24 words: ,german, club, throw, brain, frau, adorable, baker, atend, adam, qualified, joking, wen, scare, third, profesion
topic 24 coefs: ,0.04048074, 0.034090605, 0.022984987, 0.020701913, 0.018600477, 0.017884431, 0.01532641, 0.0147220045, 0.014492491, 0.011858356, 0.011847994, 0.011461648, 0.010977633, 0.010867138, 0.010286721
topic 25 words: ,best, mi, science, next, wish, colest, rock, like, fun, hope, wil, al, omg, 7th_grade, 8th_grade
topic 25 coefs: ,0.14036523, 0.101529695, 0.057063855, 0.039230797, 0.036374066, 0.033818364, 0.031557795, 0.025918648, 0.025353111, 0.024321053, 0.024203025, 0.019771824, 0.018080065, 0.014813406, 0.014138499
topic 26 words: ,on, god, sometimes, litle, time, like, strict, side, day, not, bit, come, al, may, kid
topic 26 coefs: ,0.13135651, 0.070512205, 0.032463703, 0.03228257, 0.03191929, 0.022807416, 0.01938236, 0.018058676, 0.016074305, 0.015822401, 0.011513846, 0.009719863, 0.009263086, 0.008999541, 0.00827422
topic 27 words: ,best, far, wil, not, amazing, truly, favorite, teach, student, subject, clas, honestly, pasionate, life, schol
topic 27 coefs: ,0.08925112, 0.061098415, 0.027499733, 0.026347952, 0.025572011, 0.025391538, 0.025008768, 0.023256404, 0.021652253, 0.020817155, 0.020480106, 0.019938821, 0.019094992, 0.017258964, 0.016338034
topic 28 words: ,spanish, language, game, computer, learn, speak, song, culture, speaking, sra, wait, learning, acent, play, beat
topic 28 coefs: ,0.206744, 0.07498365, 0.05045449, 0.03979752, 0.025549946, 0.022439638, 0.021415716, 0.0147992615, 0.013690069, 0.0133450385, 0.013264456, 0.012082029, 0.01141502, 0.011323693, 0.011117114
topic 29 words: ,yel, state, stand, light, hal, eye, dream, anderson, seventh_grade, never_sen, safe, eighth_grade, kindergarten, geography, od
topic 29 coefs: ,0.034211867, 0.033638135, 0.026765717, 0.021328283, 0.020408101, 0.020386104, 0.016478434, 0.016214874, 0.0150435185, 0.013688283, 0.013266304, 0.013106051, 0.011007303, 0.010727912, 0.010226202
topic 30 words: ,awesome, clas, always, fun, everyday, joke, funy, laugh, every, make, best, period, lok_forward, stay, on
topic 30 coefs: ,0.22401628, 0.08586232, 0.040479667, 0.034459427, 0.031099634, 0.030538928, 0.028775366, 0.028719211, 0.027631475, 0.027559942, 0.023589738, 0.022730062, 0.020931218, 0.020026853, 0.016878495
topic 31 words: ,test, on, grade, note, study, give, quiz, hard, al, wel, question, clas, not, god, homework
topic 31 coefs: ,0.09340233, 0.05807355, 0.035028886, 0.02414612, 0.024058921, 0.022963408, 0.020702805, 0.01810575, 0.017163428, 0.01680414, 0.01546898, 0.014916435, 0.014797398, 0.013376065, 0.0132436175
topic 32 words: ,busines, baby, brown, johnson, master, mark, red, bos, hero, sign, total, park, rest_life, hit, soul
topic 32 coefs: ,0.031489998, 0.025435321, 0.02418162, 0.021738745, 0.01915117, 0.017698802, 0.016554289, 0.014650601, 0.013290108, 0.013117128, 0.013104457, 0.013002426, 0.012681838, 0.012090477, 0.011612657
topic 33 words: ,french, word, profesor, instructor, character, madame, thre_year, trip, sing, front, economics, entire_life, begin, describe, profesors
topic 33 coefs: ,0.1027108, 0.096660934, 0.059547696, 0.038657576, 0.031395357, 0.025706593, 0.022702105, 0.02231455, 0.021195335, 0.020929595, 0.01945819, 0.019257104, 0.016753118, 0.016032288, 0.015424417
topic 34 words: ,stil, year, high_schol, ben, remember, best, since, al, midle_schol, favorite, schol, year_ago, principal, back, time
topic 34 coefs: ,0.106422804, 0.07820113, 0.05964282, 0.053829156, 0.051498055, 0.03508049, 0.032878067, 0.029983379, 0.024263466, 0.02266084, 0.019852031, 0.017510144, 0.015271341, 0.015058725, 0.014100857
topic 35 words: ,smith, hi, north, candy, kely, car, research, table, body, buy, hug, ro, david, core, sol
topic 35 coefs: ,0.05451688, 0.022041807, 0.021947468, 0.02189414, 0.019918423, 0.019197352, 0.0161444, 0.012642414, 0.012200406, 0.01178813, 0.011684713, 0.011667084, 0.011566932, 0.01140979, 0.010743635
topic 36 words: ,english, reading, writing, read, write, bok, literature, esays, boks, lit, gramar, miler, discusions, esay, dep
topic 36 coefs: ,0.23929314, 0.067478046, 0.06441085, 0.050044347, 0.034775127, 0.026698926, 0.024133423, 0.02241974, 0.022320375, 0.012998981, 0.012378172, 0.0112835355, 0.009482729, 0.008872233, 0.007939935
topic 37 words: ,people, met, nicest, person, funiest, swetest, smartest, kindest, related, probably, religion, non, youl, style_teaching, lose
topic 37 coefs: ,0.15398216, 0.14519408, 0.09633588, 0.049787056, 0.040115617, 0.026252346, 0.022381244, 0.014643933, 0.011249847, 0.010699923, 0.0103257205, 0.008836321, 0.008499046, 0.008107457, 0.007784226
topic 38 words: ,got, last, on, gave, went, lol, schol, not, name, even, told, said, first, like, time
topic 38 coefs: ,0.0735803, 0.072856635, 0.033262815, 0.027311422, 0.02594799, 0.023557313, 0.022480689, 0.021462904, 0.020845303, 0.018772213, 0.018757258, 0.017665656, 0.016515318, 0.0150185, 0.014634918
topic 39 words: ,love, amazing, woman, gym, absolutely, swet, favorite, tel, job, hate, death, cute, bomb, kid, heart
topic 39 coefs: ,0.6759839, 0.050476037, 0.027886646, 0.024585076, 0.02401392, 0.010444011, 0.010090045, 0.010076406, 0.009057657, 0.008092238, 0.00750634, 0.0063704234, 0.005030326, 0.0044759507, 0.004115261
