
topic 0 words: ,god, teacher, on, work, clas, wil, give, favorite, like, side, grade, hard, youl, time, prety
topic 19 coefs: ,0.05126981, 0.03646434, 0.031549573, 0.0223081, 0.021281203, 0.01863424, 0.016663995, 0.01612076, 0.013352538, 0.011246876, 0.010019524, 0.009928527, 0.009383373, 0.009172319, 0.008744219
topic 20 words: ,understand, teacher, math, god, sometimes, hard, explain, wel, confusing, teach, great, realy, time, overal, teaching
topic 20 coefs: ,0.07219099, 0.0718257, 0.06045541, 0.04878456, 0.04771304, 0.02758651, 0.02486021, 0.022029163, 0.01891634, 0.017141428, 0.016256949, 0.015902169, 0.01496347, 0.014134881, 0.0140472585
topic 21 words: ,teacher, know, student, teach, god, teaching, however, subject, wel, extremely, knowledgeable, expects, on, material, person
topic 21 coefs: ,0.049639393, 0.04322022, 0.039071858, 0.026915854, 0.026717575, 0.022944871, 0.02156225, 0.018851662, 0.018287962, 0.017428542, 0.016344909, 0.01502378, 0.013218818, 0.012895166, 0.01248183
topic 22 words: ,colege, taking, clas, prepared, head, skils, improve, ap, major, future, workload, second_semester, chalenge, text, bio
topic 22 coefs: ,0.07248994, 0.034573954, 0.0301759, 0.025006864, 0.024250433, 0.023199216, 0.018693902, 0.017803665, 0.014770603, 0.014094494, 0.011214516, 0.009975164, 0.009780047, 0.00936874, 0.009316285
topic 23 words: ,teling, order, lit, daughter, present, brain, memory, age, live, master, provide, win, field, mine, survive
topic 23 coefs: ,0.02846177, 0.027206773, 0.022724967, 0.01653909, 0.015876682, 0.015642898, 0.0152926445, 0.015100673, 0.014082765, 0.012599651, 0.012500352, 0.011455271, 0.011244663, 0.011244141, 0.011220253
topic 24 words: ,project, asignments, work, writing, on, reading, give, esays, read, lot, boks, group, many, idea, bok
topic 24 coefs: ,0.06793913, 0.049395554, 0.039540473, 0.037756946, 0.035468537, 0.034465767, 0.027404007, 0.025742445, 0.025638932, 0.019382546, 0.016885685, 0.016302824, 0.014584583, 0.012401695, 0.011043753
