
topic 0 words: ,thank, not, year, taught, life, high_schol, al, ben, stil, student, best, on, great, many, time
topic 17 words: ,art, program, drama, mark, film, theatre, acting, hal, advisor, clases, skils, photography, italian, photo, show
topic 17 coefs: ,0.19476864, 0.05491464, 0.029982835, 0.026292529, 0.024434473, 0.023783375, 0.022833599, 0.022683544, 0.02019047, 0.01867245, 0.017259672, 0.017033588, 0.015524395, 0.0116958795, 0.009440089
topic 18 words: ,not, like, people, know, god, think, say, bad, kid, al, mean, realy, great, on, even
topic 18 coefs: ,0.1296244, 0.04489561, 0.04099962, 0.023530422, 0.022229943, 0.02207635, 0.019672671, 0.01836346, 0.017462166, 0.016415184, 0.014463233, 0.013446808, 0.012942534, 0.010968274, 0.008950473
topic 19 words: ,work, hard, not, student, wil, grade, god, try, time, want, realy, give, learn, easy, al
topic 19 coefs: ,0.105243355, 0.06043499, 0.059125263, 0.033526696, 0.03156916, 0.02300185, 0.016664552, 0.015731173, 0.014574582, 0.014258249, 0.013495591, 0.013099779, 0.012602166, 0.011610291, 0.01105947
topic 20 words: ,wrote, technique, 9th_grade, drop, skil, 10th_grade, car, journalism, thompson, large, picked, core, reference, earth_science, hals
topic 20 coefs: ,0.06012844, 0.04320464, 0.040183, 0.03746401, 0.03230316, 0.025315195, 0.021429308, 0.020277532, 0.019340212, 0.019123754, 0.018603703, 0.017981065, 0.017707143, 0.016744487, 0.016042685
topic 21 words: ,love, word, like, rom, best, smith, walk, lol, girl, cuz, literaly, old, boy, brown, say
topic 21 coefs: ,0.049184542, 0.04168108, 0.035552416, 0.02259822, 0.021752942, 0.0155085195, 0.014632147, 0.0137420455, 0.013339002, 0.01052937, 0.010420656, 0.010241753, 0.010050845, 0.009898156, 0.009041352
topic 22 words: ,french, madame, thre_year, bel, substitute, polite, terific, luv, speaker, per, comunicate, four_year_high_schol, posted, fake, get_angry
topic 22 coefs: ,0.16555992, 0.04481011, 0.038425934, 0.016393159, 0.016129877, 0.0160264, 0.015829876, 0.015572823, 0.013870002, 0.01373827, 0.01056615, 0.010511595, 0.010126659, 0.0095732985, 0.009251905
topic 23 words: ,realy, nice, great, super, funy, god, know, helpful, easy, fun, wel, person, prety, awesome, overal
topic 23 coefs: ,0.13429394, 0.09078638, 0.049018774, 0.04785025, 0.04464399, 0.039149906, 0.028221136, 0.028161595, 0.019039638, 0.017259387, 0.017048724, 0.01573646, 0.014080401, 0.013707283, 0.013239437
topic 24 words: ,music, band, play, choir, orchestra, amazing, song, best, great, state, dance, playing, musician, love, beter
topic 24 coefs: ,0.085072696, 0.04933301, 0.04198979, 0.024182754, 0.017674299, 0.015001452, 0.014916298, 0.012847182, 0.012352654, 0.012318252, 0.01157854, 0.011454381, 0.011403639, 0.0099125495, 0.00942158
topic 25 words: ,wil, not, life, learn, best, teach, know, want, youl, everything, future, amazing, never, help, leave
topic 25 coefs: ,0.20611857, 0.04953593, 0.048423387, 0.04168136, 0.03535837, 0.034857016, 0.022550538, 0.019216185, 0.01066731, 0.01061319, 0.009306152, 0.008227675, 0.008207242, 0.008009618, 0.007928786
topic 26 words: ,help, always, wil, ned, anything, ask, talk, not, best, schol, problem, question, know, give, even
topic 26 coefs: ,0.12684743, 0.068020836, 0.062064737, 0.053905234, 0.045485936, 0.040544927, 0.03587884, 0.03539583, 0.026561568, 0.022874035, 0.01993157, 0.017798904, 0.016286254, 0.016259113, 0.014424139
topic 27 words: ,student, child, schol, son, al, kid, parent, daughter, great, excelent, wel, clasrom, work, learning, on
topic 27 coefs: ,0.08770726, 0.023071308, 0.017908176, 0.01313555, 0.012462889, 0.012424513, 0.011782669, 0.011138569, 0.009463771, 0.007911093, 0.0076156207, 0.0075875246, 0.007192324, 0.006267439, 0.006219636
topic 28 words: ,le, jones, creative_writing, experiment, perhaps, say_hi, martin, scot, bigest, poetry, imediately, taylor, hearing, favourite, chilest
topic 28 coefs: ,0.09670286, 0.025034428, 0.018994618, 0.018385816, 0.018127205, 0.016923277, 0.016614122, 0.016541041, 0.016167354, 0.01615382, 0.01565211, 0.014012525, 0.013650102, 0.013374628, 0.012088063
topic 29 words: ,col, awesome, rock, like, dude, prety, colest, chil, mom, fod, party, chinese, red, sister, dad
topic 29 coefs: ,0.1838341, 0.088400505, 0.037392084, 0.036745965, 0.027767729, 0.023103537, 0.020768793, 0.017668258, 0.0147714345, 0.01198057, 0.010309478, 0.009636077, 0.009618139, 0.009529047, 0.009158445
topic 30 words: ,science, computer, principle, c, medical, grad, campus, exceled, flow, definitely_recomend_taking, mo, rusian, foundation, quin, scientist
topic 30 coefs: ,0.5150675, 0.07529851, 0.017438611, 0.012356224, 0.012182875, 0.010612118, 0.009421897, 0.008757869, 0.008443972, 0.008433341, 0.008127857, 0.007452524, 0.0070454655, 0.0069888183, 0.006683771
topic 31 words: ,history, ap, wel, test, lecture, on, exam, know, prepared, not, dificult, interesting, world, teach, ap_exam
topic 31 coefs: ,0.08972064, 0.05595812, 0.031084538, 0.029948138, 0.02754, 0.02465186, 0.024389513, 0.01738435, 0.016872222, 0.015621231, 0.014788102, 0.014352153, 0.014111191, 0.0139205335, 0.012257669
topic 32 words: ,spanish, language, learn, speak, german, learning, learned, culture, speaking, sra, teach, speaks, gramar, wel, fun
topic 32 coefs: ,0.18612841, 0.07875198, 0.028256988, 0.023703916, 0.022575805, 0.021412209, 0.01779417, 0.017452965, 0.015459984, 0.01249049, 0.012411412, 0.012062729, 0.011864139, 0.010636416, 0.010360309
topic 33 words: ,chemistry, honor, freshman, physic, biology, colege, senior, clases, tok, ap, bio, great, lab, chem, taking
topic 33 coefs: ,0.06634002, 0.062243007, 0.058720164, 0.053797662, 0.051960703, 0.042957697, 0.039699685, 0.03498304, 0.02841547, 0.02032281, 0.020174492, 0.020093216, 0.018295126, 0.018001948, 0.017979445
topic 34 words: ,watch, movie, light, line, master, king, news, aware, sasy, def, stern, fire, card, meme, shown
topic 34 coefs: ,0.06452559, 0.056261778, 0.04520029, 0.037742306, 0.037235364, 0.02659373, 0.01971659, 0.018244375, 0.01787751, 0.016463531, 0.016155783, 0.0146127185, 0.014461619, 0.013850597, 0.013655294
topic 35 words: ,average, omg, prep, coment, kely, bos, 1st, roast, nerd, schol_district, hoping, quite_bit, coleges, aditionaly, programing
topic 35 coefs: ,0.08433125, 0.07968245, 0.049107153, 0.04043747, 0.03166976, 0.031161448, 0.022589663, 0.020999951, 0.020782612, 0.016700368, 0.015512036, 0.014799507, 0.014518523, 0.014443455, 0.014249401
topic 36 words: ,on, time, always, schol, smile, al, day, god, stay, every, side, face, first, put, gym
topic 36 coefs: ,0.10230551, 0.044101793, 0.031706806, 0.016515603, 0.016493423, 0.015915615, 0.0153582115, 0.013900803, 0.012945095, 0.012210459, 0.010759491, 0.010599812, 0.010297796, 0.00966434, 0.008502002
topic 37 words: ,fun, make, always, realy, best, funy, like, love, interesting, not, story, joke, learning, great, know
topic 37 coefs: ,0.09490496, 0.0794963, 0.031997938, 0.030408483, 0.02988804, 0.027208421, 0.024275536, 0.02340984, 0.021529319, 0.020945612, 0.01979012, 0.01958871, 0.018977676, 0.015280533, 0.0147446655
topic 38 words: ,form, body, leadership, men, aid, husband, supose, ape, cole, harvard, mitchel, driven, winter, ading, sits
topic 38 coefs: ,0.07385079, 0.049894556, 0.045956332, 0.036480874, 0.030501425, 0.029315982, 0.024695383, 0.020766564, 0.01998361, 0.019282017, 0.017532976, 0.015794499, 0.015451101, 0.015227915, 0.014842756
topic 39 words: ,latin, rule, folow, scary, bc, fal, switched, fear, kim, policy, skiled, craft, transition, transfer, jealous
topic 39 coefs: ,0.09501121, 0.07359697, 0.06244012, 0.053769227, 0.045774166, 0.031612586, 0.016582295, 0.016199138, 0.015128493, 0.014384098, 0.013783924, 0.013109148, 0.01248751, 0.0124536, 0.011629912
