
topic 0 words: ,student, teacher, clas, time, often, teaching, however, dificult, nice, person, understand, extremely, sems, god, material
topic 0 coefs: ,0.05158773, 0.0314389, 0.027298765, 0.019070305, 0.018709034, 0.017072812, 0.015710527, 0.015051527, 0.014589347, 0.013916744, 0.013491926, 0.0134916315, 0.01050252, 0.010180294, 0.010015355
topic 1 words: ,teach, know, wel, cannot, understand, explain, realy, stuf, al, on, expects, everything, anything, learn, nice
topic 1 coefs: ,0.10204904, 0.10049951, 0.031209584, 0.030835954, 0.03073998, 0.030118736, 0.029374504, 0.02449783, 0.020229558, 0.019772561, 0.019636514, 0.01701775, 0.016328814, 0.015973182, 0.015484506
topic 2 words: ,realy, nice, teacher, clas, prety, sometimes, like, person, col, god, hard, funy, think, easy, great
topic 2 coefs: ,0.119870655, 0.06677515, 0.058959384, 0.042359363, 0.032690812, 0.031551663, 0.03140965, 0.030152436, 0.029589608, 0.026592607, 0.018691095, 0.017244821, 0.016459798, 0.015680527, 0.014489758
topic 3 words: ,like, say, always, mean, talk, al, wil, something, tel, realy, ok, know, think, never, time
topic 3 coefs: ,0.06631962, 0.040746424, 0.025452731, 0.024313824, 0.023620108, 0.02227909, 0.01903633, 0.018999297, 0.015874885, 0.015490282, 0.015166682, 0.014448353, 0.014308549, 0.013738001, 0.01327531
topic 4 words: ,clas, boring, fun, learn, easy, interesting, lecture, like, art, want, al, time, actualy, clases, talk
topic 4 coefs: ,0.13885905, 0.08668915, 0.040853493, 0.031452034, 0.029377466, 0.022350492, 0.01931302, 0.01697814, 0.015310346, 0.012921506, 0.012853496, 0.012787979, 0.012101724, 0.011306346, 0.009996572
topic 5 words: ,on, student, opinion, kep, fact, clas, go, tends, often, agre, idea, personal, get, biased, past
topic 5 coefs: ,0.05859635, 0.039013144, 0.033427153, 0.019480385, 0.019439135, 0.018748429, 0.010998775, 0.010137894, 0.009340231, 0.008952872, 0.008945993, 0.00890033, 0.008443483, 0.008115933, 0.0077283797
topic 6 words: ,god, teacher, on, spanish, side, wil, luck, best, bad, begining, nice, person, coach, language, stay
topic 6 coefs: ,0.21246588, 0.11007841, 0.04600817, 0.0449681, 0.02679697, 0.022655, 0.01973605, 0.01826787, 0.017629653, 0.017041935, 0.012755301, 0.011777997, 0.010272152, 0.010085256, 0.008772083
topic 7 words: ,clas, teacher, anything, learned, nothing, math, worst, never, al, learn, teach, taught, got, french, horible
topic 7 coefs: ,0.09656132, 0.06555689, 0.048500787, 0.04176674, 0.033298813, 0.032015298, 0.02949162, 0.027449643, 0.025381822, 0.024036134, 0.023355622, 0.01953253, 0.012651204, 0.012153831, 0.011539876
topic 8 words: ,on, away, rom, put, always, kid, talked, people, rule, sport, desk, phone, helped, team, played
